image_name,strategy,seed,share_interval,fe_best
253055.jpg,PA1,42,,0.04464772495043777
253055.jpg,PA2,42,,0.044532403498698026
167062.jpg,PA2,42,,0.04444382233698631
24077.jpg,PA4,42,,0.044430708749476064
167062.jpg,PA4,42,,0.04430198901184122
24077.jpg,PA3,42,,0.04414387535818415
24077.jpg,PA5,42,7,0.044024353012399584
167062.jpg,PA3,42,,0.04361234321250388
167062.jpg,PA1,42,,0.04340105615562147
351093.jpg,PA5,42,7,0.04336431075913319
241048.jpg,PA5,42,7,0.04264440188216355
241048.jpg,PA3,42,,0.04260613783060249
241048.jpg,PA1,42,,0.04258212004132707
241048.jpg,PA4,42,,0.04256717872297324
241048.jpg,PA2,42,,0.04256548933436288
351093.jpg,PA3,42,,0.042506614154127625
351093.jpg,PA2,42,,0.04245872714539897
351093.jpg,PA1,42,,0.0419194229669422
351093.jpg,PA4,42,,0.04170561278494782
105025.jpg,PA4,42,,0.0408128198241731
105025.jpg,PA1,42,,0.040768516230772836
105025.jpg,PA3,42,,0.04072315018564175
105025.jpg,PA5,42,7,0.04068852885599011
105025.jpg,PA2,42,,0.04067403587886623
101087.jpg,PA5,42,7,0.035473141762581234
101087.jpg,PA4,42,,0.03544258021827819
101087.jpg,PA2,42,,0.03538572313469361
101087.jpg,PA3,42,,0.035235430040572044
101087.jpg,PA1,42,,0.0352166184380259
