image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
11,12084.jpg,dataset/BDS500/images/val\12084.jpg,PA4,10,30,100,42,1.0,6,0.0487143091016594,2.891940116882324,"1,2,3,4,5,6,7,8,111,254",0.0487143091016594,0.04859878742894274,7.066273268044268e-05,0.04844858908653197,0.0487143091016594,0.047131125190378945,0.0487143091016594,0.0487143091016594,0.0,0.0015831839112804558
11,12084.jpg,dataset/BDS500/images/val\12084.jpg,PA5,10,30,100,42,1.0,6,0.04880458273354506,5.3856141567230225,"1,2,3,4,5,116,251,252,253,254",0.04880458273354506,0.04866962855151586,8.129890780110787e-05,0.048526735939804395,0.04880458273354506,0.04662986076619487,0.04880458273354506,0.04880458273354506,0.0,0.0021747219673501905
12,123074.jpg,dataset/BDS500/images/val\123074.jpg,PA1,10,30,100,42,1.0,6,0.046890535431789296,2.720086097717285,"4,10,11,12,13,14,16,18,119,254",0.046890535431789296,0.046862512103353904,1.7143992832243124e-05,0.04683867691141452,0.046890535431789296,0.04609048118748961,0.046890535431789296,0.046890535431789296,0.0,0.0008000542442996861
12,123074.jpg,dataset/BDS500/images/val\123074.jpg,PA2,10,30,100,42,1.0,6,0.046890535431789296,2.6333863735198975,"1,2,4,5,6,10,16,18,119,254",0.046890535431789296,0.046856052431930806,2.2393420726611475e-05,0.04679621905532165,0.046890535431789296,0.04609048118748961,0.046890535431789296,0.046890535431789296,0.0,0.0008000542442996861
12,123074.jpg,dataset/BDS500/images/val\123074.jpg,PA3,10,30,100,42,1.0,6,0.04685301422023224,2.612367868423462,"1,2,3,4,14,19,122,251,252,254",0.04685301422023224,0.0468177947466589,2.1358315556328447e-05,0.04677389173653999,0.04685301422023224,0.04609048118748961,0.04685301422023224,0.0468526915954513,3.2262478094277625e-07,0.0007625330327426308
12,123074.jpg,dataset/BDS500/images/val\123074.jpg,PA4,10,30,100,42,1.0,6,0.04685181681701559,2.5925090312957764,"1,2,9,17,19,120,251,252,253,254",0.04685181681701559,0.04681182775071903,1.417287750198721e-05,0.04679143725718148,0.04685181681701559,0.04609048118748961,0.04685181681701559,0.0468518168170156,6.938893903907228e-18,0.0007613356295259818
12,123074.jpg,dataset/BDS500/images/val\123074.jpg,PA5,10,30,100,42,1.0,6,0.04688374375969748,6.024336576461792,"1,2,3,4,5,16,17,120,253,254",0.04688374375969748,0.046843989838938054,2.4872345408012747e-05,0.04679238732205654,0.04688374375969748,0.04609048118748961,0.04688374375969748,0.046883743759697484,6.938893903907228e-18,0.0007932625722078673
13,126007.jpg,dataset/BDS500/images/val\126007.jpg,PA1,10,30,100,42,1.0,6,0.05206288603822227,3.024695873260498,"1,3,5,8,10,18,49,213,247,248",0.05206288603822227,0.05195669201802409,5.271373976804015e-05,0.051855992296786134,0.05206288603822227,0.04712248813180842,0.05206288603822227,0.05206288603822227,0.0,0.004940397906413846
13,126007.jpg,dataset/BDS500/images/val\126007.jpg,PA2,10,30,100,42,1.0,6,0.052060332212580794,2.9207119941711426,"1,2,4,5,6,13,56,205,209,243",0.052060332212580794,0.051996473682354584,4.2832692980072806e-05,0.05187712062647383,0.052060332212580794,0.04739227227180978,0.052060332212580794,0.052060332212580794,0.0,0.004668059940771012
13,126007.jpg,dataset/BDS500/images/val\126007.jpg,PA3,10,30,100,42,1.0,6,0.05198963869961964,4.06158447265625,"1,2,4,5,9,10,11,16,51,212",0.05198963869961964,0.05188952748351561,7.357341040963063e-05,0.05172026682990927,0.05198963869961964,0.04712248813180842,0.05198963869961964,0.05198948741515073,4.5385340675246915e-07,0.004867150567811215
13,126007.jpg,dataset/BDS500/images/val\126007.jpg,PA4,10,30,100,42,1.0,6,0.052019692210237736,3.106753349304199,"1,2,4,5,7,24,41,220,239,252",0.052019692210237736,0.05182706044298976,0.00014199506852207453,0.05149455349942327,0.052019692210237736,0.04739227227180978,0.052019692210237736,0.052012025358017064,9.367106952842533e-06,0.004627419938427954
13,126007.jpg,dataset/BDS500/images/val\126007.jpg,PA5,10,30,100,42,1.0,6,0.05206951455111627,5.352768659591675,"1,4,6,7,9,11,58,203,243,252",0.05206951455111627,0.05193116632839396,9.020883730652025e-05,0.05173862907739327,0.05206951455111627,0.047705831547711616,0.05206951455111627,0.05206951455111627,0.0,0.004363683003404652
14,130026.jpg,dataset/BDS500/images/val\130026.jpg,PA1,10,30,100,42,1.0,6,0.04864035240615822,2.743152618408203,"2,4,5,6,16,244,247,248,251,252",0.04864035240615822,0.048121573501071234,0.0002146957542491528,0.04765900363153929,0.04864035240615822,0.0472009035863451,0.04864035240615822,0.04864035240615822,0.0,0.001439448819813123
14,130026.jpg,dataset/BDS500/images/val\130026.jpg,PA2,10,30,100,42,1.0,6,0.04848638312968736,2.667036771774292,"1,2,4,5,10,241,247,250,251,254",0.04848638312968736,0.0481498929303993,0.00016528592061941231,0.04782169796993876,0.04848638312968736,0.0472009035863451,0.04848638312968736,0.04848638312968735,6.938893903907228e-18,0.0012854795433422592
14,130026.jpg,dataset/BDS500/images/val\130026.jpg,PA3,10,30,100,42,1.0,6,0.048468215813104225,2.9478869438171387,"1,2,3,4,5,6,17,250,251,254",0.048468215813104225,0.04815369714306829,0.00016658053320959537,0.047833094487046035,0.04847641038425109,0.0472009035863451,0.048468215813104225,0.048468215813104225,0.0,0.001267312226759125
14,130026.jpg,dataset/BDS500/images/val\130026.jpg,PA4,10,30,100,42,1.0,6,0.04842597242785104,3.1325316429138184,"5,20,229,231,237,246,247,250,251,254",0.04842597242785104,0.04803345457551783,0.00019350486819152653,0.04774795216510747,0.04842597242785104,0.0472009035863451,0.04842597242785104,0.04837914148914386,7.154922708358791e-05,0.0012250688415059371
14,130026.jpg,dataset/BDS500/images/val\130026.jpg,PA5,10,30,100,42,1.0,6,0.05062692463126224,5.916670560836792,"235,238,239,242,243,246,249,250,253,254",0.05062692463126224,0.05023616862595374,0.00017396024578910808,0.04988617423582639,0.05062692463126224,0.0472009035863451,0.05062692463126224,0.05062331512532101,6.31807414750147e-06,0.0034260210449171408
